Eva-Ingeborg Scholz
Ingeborg Schöner
Annemarie Schradiek
Jeanette Schultze
Edith Schultze-Westrum
Ellen Schwiers
Maria Sebaldt
Ilse Seemann
Alma Seidler
Edda Seippel
Lou Seitz
Sabina Sesselmann
Sabine Sinjen
Ann Smyrner
Elke Sommer
Helga Sommerfeld
Herta Staal
Ingrid Stenn
Ruth Stephan
Ilse Steppat
Gisela Tantau
Thea Thiele
Helene Thimig
Nadja Tiller
Cordula Trantow
Margot Trooger
Gisela Trowe
Vera Tschechowa
Ellen Umlauf
Caterina Valente
Ingrid van Bergen
Helen Vita
Antje Weisgerber
Sybil Werden
Elisabeth Wiedemann
Hanne Wieder
Christa Williams
Maria Wimmer
Marianne Wischmann
Lia Wöhr
Ingmar Zeisberg
Eva Zlonitzky
Mario Adorf
Thomas Alder
Peter Alexander
Michael Ande
Eddi Arent
Arno Assmann
Erich Auer
Balduin Baas
Leo Bardischewski
Lex Barker
Frank Barufski
Horst Beck
Friedrich G. Beckhaus
Ulrich Beiger
Karl Heinz Bender
Martin Benrath
Fritz Benscher
Tilo von Berlepsch
Claus Biederstaedt
Hans Christian Blech
Alfred Böhm
Karlheinz Böhm
Wilmut Borell
Dieter Borsche
Hans von Borsody
Charles Brauer
Pinkas Braun
Hans Brenner
Siegfried Breuer jr
Pierre Brice
Jochen Brockmann
Karl Brückel
Horst Buchholz
Bully Buhlan
Walter Buschhoff
Wolfgang Büttner
Peter Carsten
Hans Clarin
Wolfgang Condrus
Heinz Conrads
Hans Cossy
Michael Cramer
Armin Dahlen
Klaus Dahlen
Ivan Desny
Christian Doermer
Heinz Drache
Eckart Dux
Fritz Eckhardt
Harry Engel
Hans Epskamp
Heinz Erhardt
Paul Esser
Hans Elwenspoek
Hansjörg Felmy
Sigurd Fitzek
Bert Fortell
Silvio Francesco
Horst Frank
Peter Frankenfeld
Gerhard Frickhöffer
Gert Fröbe
Matthias Fuchs
Joachim Fuchsberger
Harry Fuss
Peter Garden
Benno Gellenbeck
Konrad Georg
Götz George
Rex Gildo
Walter Giller
Ernst Ginsberg
Reinhard Glemnitz
Helmuth Gmelin
Boy Gobert
Heini Göbel
Robert Graf
Heinrich Gretler
Oliver Grimm
Wilhelm Groothe
Kurt Großkurth
Wolfgang Gruner
Holger Hagen
Joachim Hansen
Oliver Hassencamp
Klaus Havenstein
Oscar Heiler
Kurt Heintel
Martin Held
Jan Hendriks
Rolf Henniger
Michael Hinz
Gert Günther Hoffmann
Claus Holm
Thomas Holtzmann
Thomas Hörbiger
Adrian Hoven
Chris Howland
Hans Irle
Kurt Jaggberg
Wolfgang Jansen
Horst Janson
Günther Jerschke
Friedrich Joloff
Harald Juhnke
Gerhard Just
Roland Kaiser
Heini Kaufeld
Helmut Käutner
Horst Keitel
Alexander Kerst
Klaus Kinski
Til Kiwe
Walter Kohut
Reinhard Kolldehoff
Fred Kraus
Peter Kraus
Karl-Heinz Kreienbaum
Bum Krüger
Franz-Otto Krüger
Benno Kusche
Rolf Kutschera
Hellmut Lange
Heinz Lanker
Richard Lauffen
Volker Lechtenbrink
Stanislav Ledinek
Rudolf Lenz
Kurt Lieck
Karl Lieffen
Wolfried Lier
Werner Lieven
Erwin Linder
Hugo Lindinger
Adi Lödel
Helmuth Lohner
Hanns Lothar
Bruce Low
Paul Löwinger
Klaus Löwitsch
Siegfried Lowitz
Günter Lüdke
Otto Lüthje
Willy Maertens
Alf Marholm
Josef Meinrad
Günter Meisner
Hannes Messemer
Harry Meyen
Robert Meyn
Willy Millowitsch
Lutz Moik
Peter Mosbacher
Fritz Muliar
Wolfgang Müller
Franz Muxeneder
Reggie Nalder
Rolf von Nauckhoff
Peter Nestler
Wolfgang Neuss
Joseph Offenbach
Rolf Olsen
Georg Pahl
Bruno W. Pantel
Peter Pasetti
Peter Paul
Rainer Penkert
Kurd Pieritz
Günter Pfitzmann
Gunther Philipp
Kurt Pratsch-Kaufmann
Wolfgang Preiss
Hans Putz
Helmut Qualtinger
Freddy Quinn
Charles Regnier
Willy Reichert
Heinz Reincke
Ernst Reinhold
Hans Reiser
Fritz Rémond
Raoul Retzer
Walther Reyer
Rudolf Rhomberg
Gerhard Riedmann
Werner Riepel
Paul Edwin Roth
Albert Rueprecht
Sieghardt Rupp
Maximilian Schell
Erich Schellow
Eric Schildkraut
Heinz Schimmelpfennig
Karl-Maria Schley
Helmut Schmid
Peer Schmidt
Franz Schneider
Helmuth Schneider
Rudolf Schock
Hermann Schomberg
Friedrich Schoenfelder
Hans E. Schons
Emmerich Schrenk
Werner Schumacher
Erik Schumann
Heinrich Schweiger
Karl Schwetter
Walter Sedlmayr
Ernst Stankovski
Leonard Steckel
Sigfrit Steiner
Erwin Strahl
Fritz Straßner
Achim Strietzel
Hubert Suschka
Horst Tappert
Hans Terofal
Peter Thom
Carlos Thompson
Herbert Tiede
Fritz Tillmann
Bobby Todd
Vico Torriani
Ed Tracy
Günther Ungeheuer
Henry Vahl
Peter van Eyck
Peter Vogel
Karl-Michael Vogler
Wolfgang Völz
Carl Voscherau
Wolfgang Wahl
Ernst Waldbrunn
Peter Weck
Heinz Weiss
Gerhard Wendland
Elmar Wepper
Fritz Wepper
Oskar Werner
Bernhard Wicki
Claus Wilcke
Christian Wolff
Ralf Wolter
Klausjürgen Wussow
Harry Wüstenhagen
Helmut Zacharias
Doris Abeßer
Barbara Adolph
Käte Alving
Evamaria Bath
Liselott Baumgarten
Manja Behrens
Maria Besendahl
Christel Bodenstein
Ursula Braun
Carola Braunbock
Gertrud Brendler
Charlotte Brummerhoff
Angela Brunner
Ursula Burg
Annekathrin Bürger
Mathilde Danegger
Barbara Dittus
Susanne Düllmann
Erika Dunkelmann
Elfriede Florin
Ruth Glöss
Helga Göring
Christa Gottschalk
Elsa Grube-Deister
Annemone Haase
Eva-Maria Hagen
Judith Harms
Margret Homeyer
Angelika Hurwicz
Marion van de Kamp
Inge Keller
Ruth Kommerell
Irene Korb
Elsa Korén
Waltraut Kramm
Agnes Kraus
Brigitte Krause
Ruth Maria Kubitschek
Charlotte Küter
Christine Laszar
Marga Legal
